Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
018083,-33.043,135.4519,86.4,2001,2011,11,WUDINNA AERO
018106,-31.4492,130.8976,64,2001,2010,10,NULLARBOR
018116,-33.7081,136.5026,175,1962,2010,49,CLEVE AERODROME
018120,-33.0539,137.5205,6.5,2000,2010,11,WHYALLA AERO
018139,-33.5085,135.2928,37,1967,2005,39,POLDA (GUM VIEW)
018181,-34.4906,135.8511,95,1973,1994,22,PORT LINCOLN (TOD RIVER)
018191,-34.3749,135.3741,28,2000,2010,11,COULTA (COLES POINT)
018192,-34.5993,135.8784,8.5,2000,2010,11,NORTH SHIELDS (PORT LINCOLN AWS)
018195,-32.8427,135.1515,165,1997,2011,15,MINNIPA PIRSA
020028,-33.7622,140.1251,57,2000,2011,12,GLUEPOT RESERVE (GLUEPOT)
020062,-32.5707,139.5645,300,2000,2011,12,YUNTA AIRSTRIP
021060,-33.2025,138.6024,453,1951,2010,60,JAMESTOWN PIRSA
021133,-33.7676,138.2182,109.1,2000,2011,12,SNOWTOWN (RAYVILLE PARK)
022031,-34.748,137.5276,32,2001,2011,11,MINLATON AERO
022041,-35.0319,137.0951,62,1973,2004,32,WHITE HUT
022046,-35.1121,137.7395,6,1999,2011,13,EDITHBURGH
022049,-35.2795,136.9392,42,1999,2011,13,STENHOUSE BAY
022801,-35.7529,136.5938,143,1974,2007,34,CAPE BORDA COMPARISON
022814,-35.8,137.3333,155,1960,1984,25,PARNDANA EAST RESEARCH STATION
022816,-35.7734,137.033,232,1973,2001,29,PARNDANA (ALLANDALE)
022841,-35.7114,137.5231,6.2,2002,2012,11,KINGSCOTE AERO
023000,-34.9254,138.5869,40,1897,1979,83,ADELAIDE WEST TERRACE
023013,-34.7977,138.6281,9.5,1972,2011,40,PARAFIELD AIRPORT
023027,-34.8744,138.6858,85,1988,2003,16,ADELAIDE (THORNDON PARK)
023031,-34.9697,138.6331,115,1963,1979,17,ADELAIDE (WAITE INSTITUTE)
023034,-34.9524,138.5204,2,1967,2011,45,ADELAIDE AIRPORT
023083,-34.7111,138.6222,16.5,1979,2010,32,EDINBURGH RAAF
023090,-34.9211,138.6216,48,1977,2011,35,ADELAIDE (KENT TOWN)
023122,-34.5106,138.6763,65,1999,2012,14,ROSEWORTHY AWS
023321,-34.4767,139.0047,274,1970,1998,29,NURIOOTPA COMPARISON
023343,-34.5519,138.8342,116,1958,2010,53,ROSEDALE (TURRETFIELD RESEARCH CENTRE)
023373,-34.4761,139.0056,275,1999,2011,13,NURIOOTPA VITICULTURAL
023735,-35.3497,138.6223,232,1998,2011,14,MOUNT COMPASS
023763,-34.7122,138.9469,395,1970,2011,42,MOUNT CRAWFORD FOREST HEADQUARTERS
023785,-35,138.7167,496,1964,1985,22,STIRLING POST OFFICE
023801,-34.9482,138.8071,480,1972,2011,40,LENSWOOD RESEARCH CENTRE
023804,-35.5544,138.5997,8,2001,2012,12,VICTOR HARBOR (ENCOUNTER BAY)
023823,-35.4123,138.5751,248,1973,2011,39,HINDMARSH VALLEY (FERNBROOK)
023824,-35.4428,138.5444,410,1973,2011,39,HINDMARSH VALLEY (SPRINGMOUNT)
023838,-35.4156,138.6764,192,1978,1998,21,MOUNT COMPASS (MARSHALL BRAE)
023843,-35.0266,138.7133,470,1985,2011,27,HEATHFIELD WORKS DEPOT
023875,-35.5695,138.2864,341,1999,2011,13,PARAWA (SECOND VALLEY FOREST AWS)
024023,-34.4333,140.6,66,1972,1984,13,LOXTON RESEARCH CENTRE
024024,-34.439,140.5978,30.1,1976,2011,36,LOXTON RESEARCH CENTRE
024048,-34.1983,140.6766,31.5,2001,2011,11,RENMARK AERO
024515,-35.2959,139.0328,18,1973,2011,39,LANGHORNE CREEK
025507,-36.098,140.3556,29,1989,2004,16,KEITH
025549,-36.1167,140.3667,31,1972,1989,18,KEITH E&WS
026013,-36.8803,140.9286,95,1972,1995,24,KYBYBOLITE RESEARCH CENTRE
026021,-37.7473,140.7739,63,1942,2012,71,MOUNT GAMBIER AERO
026049,-36.0582,139.5913,4,1972,2010,39,POLICEMAN POINT
026070,-37.2667,140.1167,11,1970,1981,12,KONETTA E&WS
026082,-37.0951,140.7911,65,1974,2011,38,STRUAN
026089,-36.5958,140.4864,37,1982,2000,19,PADTHAWAY
026091,-37.2906,140.8254,57,1985,2011,27,COONAWARRA
026099,-36.9813,140.727,49.7,2000,2011,12,NARACOORTE AERODROME
026100,-36.6539,140.5212,37,2001,2011,11,PADTHAWAY SOUTH
027006,-13.7642,143.1178,160.5,1967,2002,36,COEN AIRPORT EVAP
027022,-10.5853,142.21,57.6,1961,1993,33,THURSDAY ISLAND MO
027042,-12.6267,141.8836,20,1964,2011,48,WEIPA EASTERN AVE
027045,-12.6778,141.9208,18,1995,2011,17,WEIPA AERO
028000,-15.5581,144.4453,95,1972,2010,39,LAURA POST OFFICE
028004,-16.0008,144.0758,203.8,1966,1999,34,PALMERVILLE
