Stn Number,Latitude,Longitude,Elevation (m AHD),First Year,Last Year,Number of Years,Stn Name
007028,-24.0469,116.2181,320,1946,2009,64,WANNA
007030,-26.1142,117.5047,500,1921,2012,92,JUDAL STATION
007031,-26.905,118.8361,600,1917,2011,95,HILLVIEW
007032,-27.6292,117.4867,500,1925,1980,56,ILLGIDDY
007033,-24.3444,119.5808,620,1924,2009,86,ILLGARARIE
007034,-27.7447,116.7442,400,1923,2012,90,JINGEMARRA
007035,-26.8936,117.1211,500,1921,1994,74,KALLI
007036,-26.3475,118.9583,500,1925,1998,74,KILLARA
007037,-28.5564,117.7803,400,1910,2011,102,KIRKALOCKA
007038,-26.275,117.7842,500,1927,2008,82,KOONMARRA
007040,-27.5958,117.75,400,1915,1979,65,LAKESIDE
007041,-25.1303,116.9047,400,1902,2008,107,LANDOR
007042,-26.9367,117.5928,600,1926,2012,87,MADOONGA
007043,-26.4458,116.5467,450,1899,2009,111,MANFRED
007044,-28.3,116.2,,1912,1948,37,MARLOO
007045,-26.6136,118.5372,517,1944,2012,69,MEEKATHARRA AIRPORT
007046,-26.5933,118.4883,511,1908,1986,79,MEEKATHARRA POST OFFICE
007047,-28.4467,118.2675,450,1923,2011,89,MEELINE STATION
007048,-27.4222,116.825,350,1900,2012,113,MEKA STATION
007049,-26.3736,117.3339,400,1899,2012,114,MILEURA
007050,-25.0942,118.2983,600,1916,2011,96,MILGUN
007052,-25.9214,117.6,600,1889,2011,123,MOORARIE
007053,-24.3086,116.9111,337,1901,2012,112,MOUNT AUGUSTUS
007054,-27.8794,117.5506,600,1927,2009,83,MOUNT FARMER
007055,-25.8064,117.3906,600,1893,2010,118,MOUNT GOULD
007056,-24.8567,116.895,250,1930,1975,46,MOUNT JAMES
007057,-28.0619,117.8503,426,1894,2010,117,MOUNT MAGNET
007058,-24.4,116.3078,300,1902,2012,111,MOUNT PHILLIP
007059,-24.2297,118.2408,350,1939,2012,74,MOUNT VERNON
007060,-27.4189,116.6897,350,1900,2006,107,MOUNT WITTENOOM
007061,-24.8333,118.4717,600,1925,1984,60,MULGUL
007062,-23.7942,120.2442,571,1915,1981,67,MUNDIWINDI
007063,-28.5253,117.0344,350,1904,2011,108,MURALGARRA
007064,-27.3636,116.4261,303,1889,2012,124,MURGOO
007065,-28.6519,117.6083,400,1906,2011,106,NALBARRA
007066,-26.9,118.4,448,1894,1955,62,NANNINE
007067,-28.9464,118.1867,442.2,1921,2010,90,NARNDEE
007068,-29.425,117.2906,330,1905,2012,108,NINGHAN STATION
007069,-28.1233,116.8294,390,1913,1995,83,NOONGAL
007070,-25.6381,118.7131,,1898,2000,103,PEAK HILL
007071,-28.0531,116.6514,350,1905,2010,106,PINDATHUNA
007072,-29.1886,117.9222,350,1921,2007,87,PULLAGAROO
007076,-27.95,118.6,,1905,1952,48,RPF 206 MILE
007078,-26.5597,118.5397,500,1925,2011,87,SHERWOOD
007079,-23.5867,120.0517,600,1950,2009,60,SYLVANIA
007080,-25.1256,119.1514,520,1907,2011,105,THREE RIVERS
